AÑO;MES;CONGLOME;VIVIENDA;HOGAR;CODPERSO;CODINFOR;UBIGEO;DOMINIO;ESTRATO;PERIODO;P2400A;P2400B;P2400C;P2400D;P2400E;P2400F;P2400G;P2400H;P2400I;P2400J;P2400K;P2400L;P2400M;FACTORA07;NCONGLOME;SUB_CONGLOME
2022;1;5944;32;11;2;2;60411;4;7;2;0;160;86;40;300;20;0;0;0;0;0;500;1106;380.6004639;5163;0
2022;1;5944;135;11;1;1;60411;4;7;2;0;557;0;50;0;0;0;0;0;700;0;0;1307;322.2841187;5163;0
2022;1;5944;136;11;2;2;60411;4;7;2;0;945;0;0;0;0;0;0;0;2700;0;0;3645;259.1714478;5163;0
2022;1;5944;137;11;1;2;60411;4;7;2;0;330;0;150;0;0;0;0;0;1088;0;0;1568;243.3081818;5163;0
2022;1;6011;3;11;1;1;61004;4;6;3;0;115;200;0;0;0;0;0;0;347;0;0;662;322.2841187;6274;0
2022;1;6011;8;11;1;1;61004;4;6;3;0;82;50;0;0;0;0;0;0;125;0;0;257;245.4756775;6274;0
2022;1;6011;16;11;1;1;61004;4;6;3;0;66;200;0;0;0;0;0;0;222;0;0;488;245.4756775;6274;0
2022;1;6011;31;11;1;1;61004;4;6;3;0;12;40;0;0;0;0;0;0;0;0;0;52;216.6220398;6274;0
2022;1;6011;46;11;1;1;61004;4;6;3;0;85;80;0;0;0;0;0;0;303;0;0;468;269.4232483;6274;0
2022;1;6011;56;11;1;1;61004;4;6;3;0;17;100;0;0;0;0;0;0;60;0;0;177;238.4302979;6274;0
2022;1;6011;66;11;1;1;61004;4;6;3;0;44;50;0;0;0;0;0;0;103;0;0;197;380.6004639;6274;0
2022;1;6230;106;11;1;2;80901;7;4;4;0;0;0;0;0;10;0;0;0;0;0;0;10;11.53059196;37008;0
2022;1;6483;3;11;1;1;90306;5;7;3;0;340;205;105;60;0;0;0;0;318;0;0;1028;71.66338348;33493;0
2022;1;6483;17;11;1;1;90306;5;7;3;0;208;110;45;30;10;8;0;0;252;0;0;663;71.66338348;33493;0
2022;1;6483;25;11;1;2;90306;5;7;3;0;420;220;45;0;0;0;0;0;103;0;0;788;107.1695786;33493;0
2022;1;6483;27;11;1;1;90306;5;7;3;0;469;195;83;60;0;0;0;0;220;0;0;1027;119.2761383;33493;0
2022;1;6483;274;11;1;1;90306;5;7;3;0;2;0;0;0;0;0;0;0;0;0;0;2;60.2822876;33493;0
2022;1;6483;276;11;1;1;90306;5;7;3;0;277;40;0;0;0;0;0;0;145;0;60;522;75.40918732;33493;0
2022;1;6483;297;11;1;1;90306;5;7;3;0;227;100;0;90;12;0;0;0;159;0;0;588;75.34680176;33493;0
2022;1;6483;304;11;1;1;90306;5;7;3;0;147;20;0;0;0;0;0;0;135;0;0;302;119.2761383;33493;0
2022;1;6571;71;11;1;1;100402;5;7;3;0;38;0;0;70;0;0;0;0;60;0;0;168;122.1515045;14002;0
2022;1;6571;153;11;1;2;100402;5;7;3;0;242;230;58;0;15;50;0;0;111;0;34;740;363.1737366;14002;0
2022;1;6571;159;11;1;1;100402;5;7;3;0;185;90;0;0;13;0;0;0;150;0;90;528;132.5903015;14002;0
2022;1;6571;160;11;1;1;100402;5;7;3;0;200;0;0;0;0;0;0;0;203;0;0;403;132.574646;14002;0
2022;1;6571;174;11;1;1;100402;5;7;3;0;120;225;0;0;0;0;0;0;198;0;50;593;118.8374176;14002;0
2022;1;6571;176;11;1;1;100402;5;7;3;0;244;250;15;0;0;0;0;0;380;0;0;889;211.1729584;14002;0
2022;1;6571;177;11;1;1;100402;5;7;3;0;53;0;25;0;0;20;0;0;114;0;0;212;181.1482086;14002;0
