AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,PERIODO,P2400A,P2400B,P2400C,P2400D,P2400E,P2400F,P2400G,P2400H,P2400I,P2400J,P2400K,P2400L,P2400M,FACTORA07,NCONGLOME,SUB_CONGLOME
2022,01,006011,008,11,01,01,061004,4,6,3,0,82,50,0,0,0,0,0,0,125,0,0,257,245.475677490234,006274,00
2022,01,006011,016,11,01,01,061004,4,6,3,0,66,200,0,0,0,0,0,0,222,0,0,488,245.475677490234,006274,00
2022,01,006011,031,11,01,01,061004,4,6,3,0,12,40,0,0,0,0,0,0,0,0,0,52,216.622039794922,006274,00
2022,01,006011,046,11,01,01,061004,4,6,3,0,85,80,0,0,0,0,0,0,303,0,0,468,269.423248291016,006274,00
2022,01,006011,056,11,01,01,061004,4,6,3,0,17,100,0,0,0,0,0,0,60,0,0,177,238.430297851563,006274,00
2022,01,006011,066,11,01,01,061004,4,6,3,0,44,50,0,0,0,0,0,0,103,0,0,197,380.600463867188,006274,00
2022,01,006230,106,11,01,02,080901,7,4,4,0,0,0,0,0,10,0,0,0,0,0,0,10,11.5305919647217,037008,00
2022,01,006483,003,11,01,01,090306,5,7,3,0,340,205,105,60,0,0,0,0,318,0,0,1028,71.6633834838867,033493,00
2022,01,006483,017,11,01,01,090306,5,7,3,0,208,110,45,30,10,8,0,0,252,0,0,663,71.6633834838867,033493,00
2022,01,006483,025,11,01,02,090306,5,7,3,0,420,220,45,0,0,0,0,0,103,0,0,788,107.169578552246,033493,00
2022,01,006483,027,11,01,01,090306,5,7,3,0,469,195,83,60,0,0,0,0,220,0,0,1027,119.276138305664,033493,00
2022,01,006483,274,11,01,01,090306,5,7,3,0,2,0,0,0,0,0,0,0,0,0,0,2,60.2822875976563,033493,00
2022,01,006483,276,11,01,01,090306,5,7,3,0,277,40,0,0,0,0,0,0,145,0,60,522,75.4091873168945,033493,00
2022,01,006483,297,11,01,01,090306,5,7,3,0,227,100,0,90,12,0,0,0,159,0,0,588,75.3468017578125,033493,00
2022,01,006483,304,11,01,01,090306,5,7,3,0,147,20,0,0,0,0,0,0,135,0,0,302,119.276138305664,033493,00
2022,01,006571,071,11,01,01,100402,5,7,3,0,38,0,0,70,0,0,0,0,60,0,0,168,122.151504516602,014002,00
2022,01,006571,153,11,01,02,100402,5,7,3,0,242,230,58,0,15,50,0,0,111,0,34,740,363.173736572266,014002,00
2022,01,006571,159,11,01,01,100402,5,7,3,0,185,90,0,0,13,0,0,0,150,0,90,528,132.590301513672,014002,00
2022,01,006571,160,11,01,01,100402,5,7,3,0,200,0,0,0,0,0,0,0,203,0,0,403,132.574645996094,014002,00
2022,01,006571,174,11,01,01,100402,5,7,3,0,120,225,0,0,0,0,0,0,198,0,50,593,118.837417602539,014002,00
2022,01,006571,176,11,01,01,100402,5,7,3,0,244,250,15,0,0,0,0,0,380,0,0,889,211.172958374023,014002,00
2022,01,006571,177,11,01,01,100402,5,7,3,0,53,0,25,0,0,20,0,0,114,0,0,212,181.148208618164,014002,00
2022,01,006807,053,11,02,02,110503,2,5,4,0,4750,4100,4500,0,0,150,0,400,0,0,190,14090,145.954498291016,034127,00
2022,01,006807,079,11,01,01,110503,2,5,4,0,2200,6800,7100,620,290,350,0,600,0,0,350,18310,126.436569213867,034127,00
2022,01,006807,092,11,02,02,110503,2,5,4,0,4500,7200,3800,1800,0,600,0,420,0,0,2300,20620,86.7353820800781,034127,00
2022,01,006893,072,11,01,01,120114,5,2,2,0,0,100,0,0,0,0,0,0,0,0,0,100,209.972595214844,031876,00
2022,01,006975,147,11,01,01,120201,5,5,2,150,1568,2500,530,600,80,150,0,0,0,0,0,5578,555.509521484375,031600,00
2022,01,007031,018,11,01,01,120404,5,6,3,0,0,0,0,0,0,0,0,128,0,0,0,128,137.266052246094,031496,00
2022,01,007031,089,11,01,01,120404,5,6,3,0,90,150,0,0,0,0,0,10,0,0,0,250,110.033065795898,031496,00
2022,01,007031,117,11,02,02,120404,5,6,3,0,25,0,2,0,0,0,0,0,0,0,0,27,168.360626220703,031496,00
2022,01,007031,132,11,01,01,120404,5,6,3,0,128,0,0,100,0,0,0,10,70,0,0,308,91.0237884521484,031496,00
2022,01,007243,039,11,01,02,131103,4,7,4,0,241,500,65,200,0,0,0,0,0,0,150,1156,111.16429901123,011355,00
2022,01,007243,043,11,01,02,131103,4,7,4,0,35,640,60,175,30,0,0,0,0,0,200,1140,147.800674438477,011355,00
2022,01,007243,121,11,01,01,131103,4,7,4,0,10,65,30,0,0,0,0,0,0,0,0,105,220.22819519043,011355,00
2022,01,007243,122,11,01,01,131103,4,7,4,0,15,540,30,0,10,0,0,0,0,0,0,595,414.655517578125,011355,00
2022,01,007243,123,11,01,01,131103,4,7,4,0,0,0,0,0,16,0,0,0,0,0,0,16,152.681137084961,011355,00
2022,01,007243,124,11,01,01,131103,4,7,4,0,0,200,0,0,0,0,0,0,0,0,84,284,220.22819519043,011355,00
2022,01,007250,027,11,01,01,130614,4,7,4,0,56,220,266,0,0,0,0,0,0,0,240,782,112.079704284668,011439,00
2022,01,007250,028,11,02,02,130614,4,7,4,0,562,1000,900,0,140,0,0,0,0,0,200,2802,208.07502746582,011439,00
2022,01,007250,030,11,01,01,130614,4,7,4,0,117,82,85,0,0,0,0,0,0,0,0,284,180.762023925781,011439,00
2022,01,007250,080,11,01,01,130614,4,7,4,0,330,400,55,0,0,0,0,0,0,0,0,785,414.655517578125,011439,00
2022,01,007250,081,11,01,01,130614,4,7,4,0,1821,3260,800,420,200,0,0,0,0,0,1300,7801,220.22819519043,011439,00
2022,01,007250,082,11,01,01,130614,4,7,4,0,105,1200,80,0,16,0,0,0,0,0,150,1551,111.16429901123,011439,00
2022,01,007250,084,11,01,01,130614,4,7,4,0,946,0,1000,270,150,0,0,0,0,0,900,3266,414.655517578125,011439,00
2022,01,007477,041,11,01,01,140102,1,7,3,0,800,2000,270,3600,100,0,0,0,0,0,750,7520,69.3635635375977,004253,00
2022,01,007477,042,11,01,01,140102,1,7,3,0,90,400,350,0,350,0,0,0,0,0,600,1790,90.8949203491211,004253,00
2022,01,007477,085,11,01,01,140102,1,7,3,4000,3200,110,300,3000,0,200,0,2000,0,0,2200,15010,145.660278320313,004253,00
2022,01,007477,086,11,01,01,140102,1,7,3,0,0,0,20,0,0,0,0,10,0,0,0,30,88.7336502075195,004253,00
2022,01,007477,091,11,02,02,140102,1,7,3,0,0,0,0,0,0,0,0,5,0,0,0,5,97.927360534668,004253,00
2022,01,007477,092,11,02,02,140102,1,7,3,0,0,0,0,0,0,0,0,5,0,0,0,5,46.3394584655762,004253,00
2022,01,008052,003,11,01,04,150601,2,3,4,0,10,0,2000,0,0,200,0,0,0,0,0,2210,140.406814575195,017047,00
2022,01,008260,072,11,01,01,160301,7,5,2,0,0,0,0,0,0,0,0,0,0,0,10,10,349.319244384766,007398,00
2022,01,008455,047,11,01,01,170101,7,7,4,0,276,0,3608,0,175,0,0,0,0,0,0,4059,36.0546226501465,039034,00
2022,01,008455,051,11,01,01,170101,7,7,4,0,80,0,0,0,60,0,0,0,0,0,0,140,18.5085315704346,039034,00
2022,01,008514,003,11,01,01,180101,3,3,2,0,0,30,0,0,0,0,0,0,0,0,0,30,143.091690063477,043949,00
2022,01,008514,017,11,01,01,180101,3,3,2,0,2,250,90,0,0,0,0,0,300,0,70,712,142.356674194336,043949,00
2022,01,008858,012,11,01,01,200605,1,4,2,0,0,350,160,300,0,80,0,150,0,0,0,1040,403.665649414063,001107,00
2022,01,008858,022,11,03,03,200605,1,4,2,0,150,1000,80,630,220,0,0,250,0,0,0,2330,403.665649414063,001107,00
2022,01,008858,035,11,04,04,200605,1,4,2,0,0,80,0,0,0,0,0,70,0,0,0,150,260.042663574219,001107,00
2022,01,008862,086,11,01,01,200110,1,4,4,0,200,300,350,500,25,0,0,220,0,0,400,1995,477.325805664063,001754,00
2022,01,008954,003,11,01,01,200405,1,8,4,0,0,70,120,1200,100,0,0,80,0,0,470,2040,109.54386138916,002654,00
2022,01,008954,004,11,01,01,200405,1,8,4,0,260,130,500,500,0,0,0,500,0,0,1100,2990,126.186653137207,002654,00
2022,01,008954,085,11,01,01,200405,1,8,4,0,10,100,200,100,0,0,0,0,0,0,100,510,214.315032958984,002654,00
2022,01,008956,018,11,01,01,200406,1,7,4,0,0,600,90,0,0,0,0,40,0,0,0,730,223.512390136719,002701,00
2022,01,008956,019,11,01,01,200406,1,7,4,0,0,0,0,0,20,0,0,0,0,0,0,20,272.711761474609,002701,00
2022,01,008956,020,11,01,01,200406,1,7,4,0,12,0,0,0,10,1200,0,0,0,0,0,1222,142.087997436523,002701,00
2022,01,008956,021,11,01,01,200406,1,7,4,0,0,0,0,0,20,0,0,0,0,0,0,20,227.104598999023,002701,00
2022,01,008956,150,11,01,01,200406,1,7,4,0,0,300,150,0,0,260,0,0,0,0,40,750,265.091522216797,002701,00
2022,01,008956,151,11,01,01,200406,1,7,4,0,100,20,0,0,0,0,0,480,0,0,0,600,142.087997436523,002701,00
2022,01,009073,003,11,01,01,211101,6,8,5,0,20,0,0,0,0,0,0,0,0,0,0,20,160.673400878906,040393,00
2022,01,009073,004,11,01,01,211101,6,8,5,0,30,0,0,0,0,0,0,0,0,0,80,110,109.158905029297,040393,00
2022,01,009073,005,11,01,01,211101,6,8,5,0,40,0,0,0,0,0,0,0,0,0,0,40,166.827697753906,040393,00
2022,01,009073,183,11,02,02,211101,6,8,5,0,25,0,0,0,0,0,0,0,0,0,0,25,145.789779663086,040393,00
2022,01,009073,186,11,02,02,211101,6,8,5,0,45,10,0,0,0,0,0,0,0,0,0,55,166.827697753906,040393,00
2022,01,009073,194,11,02,02,211101,6,8,5,0,60,0,0,0,0,0,0,0,0,0,65,125,190.028106689453,040393,00
2022,01,009149,017,11,01,01,220809,7,5,2,0,560,4200,2000,1000,0,0,0,0,0,0,1500,9260,658.945190429688,008460,00
2022,01,009221,151,11,01,01,220910,7,2,5,0,90,0,600,0,0,150,0,0,39,0,0,879,87.0610733032227,009382,00
2022,01,009323,091,11,01,01,230102,3,2,2,0,0,40,40,800,0,0,0,0,0,0,0,880,237.158905029297,044280,00
2022,01,009546,010,11,01,01,240102,1,5,3,0,0,2500,180,0,0,0,0,1700,0,0,200,4580,107.628273010254,000237,00
2022,01,009583,088,11,01,01,240202,1,7,4,0,30,156,40,0,0,0,0,1152,0,0,80,1458,10.5762948989868,000021,00
2022,01,009583,089,11,01,01,240202,1,7,4,0,0,0,65,0,0,3240,0,0,0,0,250,3555,12.0282678604126,000021,00
2022,01,009583,091,11,01,01,240202,1,7,4,0,0,70,0,0,0,0,0,672,0,0,0,742,11.9791107177734,000021,00
2022,01,009583,217,11,03,03,240202,1,7,4,0,0,70,100,0,0,560,0,620,0,0,40,1390,17.8544445037842,000021,00
2022,01,009583,218,11,01,01,240202,1,7,4,0,0,200,120,0,0,190,0,0,0,0,0,510,14.6595830917358,000021,00
2022,01,009583,219,11,01,01,240202,1,7,4,0,0,750,320,450,100,1470,0,0,0,0,70,3160,12.0282678604126,000021,00
2022,01,009970,017,11,01,01,081003,6,8,4,0,227,0,24,100,15,0,0,0,237,0,0,603,122.933082580566,037470,00
2022,01,009970,019,11,02,02,081003,6,8,4,0,80,0,0,0,5,0,0,12,89,0,0,186,176.824935913086,037470,00
2022,01,009970,020,11,01,01,081003,6,8,4,0,245,0,35,0,4,0,0,0,160,0,0,444,162.115112304688,037470,00
2022,01,009970,034,11,01,01,081003,6,8,4,0,35,40,32,20,25,0,0,0,76,0,30,258,162.115112304688,037470,00
2022,01,009970,037,11,01,01,081003,6,8,4,0,76,0,0,0,0,0,0,0,0,0,0,76,83.2069854736328,037470,00
2022,01,009970,039,11,01,01,081003,6,8,4,0,123,0,0,0,20,0,0,24,80,0,0,247,162.115112304688,037470,00
2022,01,009970,040,11,01,01,081003,6,8,4,0,98,0,0,0,20,0,0,0,115,0,0,233,94.3642959594727,037470,00
2022,01,009997,005,11,01,01,120607,7,8,4,0,0,0,0,0,0,30,0,0,0,0,48,78,79.8411483764648,032508,00
2022,01,009997,007,11,01,01,120607,7,8,4,0,0,0,0,0,0,0,0,0,0,0,39,39,87.9508438110352,032508,00
2022,01,009997,008,11,01,01,120607,7,8,4,0,0,0,0,0,60,0,0,0,0,0,72,132,140.301574707031,032508,00
2022,01,009997,062,11,01,01,120607,7,8,4,0,0,0,0,1491,0,0,0,0,216,0,0,1707,79.8411483764648,032508,00
2022,01,009997,063,11,01,01,120607,7,8,4,0,0,0,0,0,30,0,0,0,0,0,39,69,197.337326049805,032508,00
2022,01,010023,051,11,01,01,021405,2,7,4,0,0,90,0,0,0,0,0,20,0,0,0,110,137.384063720703,013970,00
2022,01,010023,112,11,01,01,021405,2,7,4,0,0,740,300,0,0,0,0,0,0,0,1050,2090,93.9564437866211,013970,00
2022,01,010023,113,11,01,01,021405,2,7,4,0,0,0,0,0,0,0,0,0,0,0,228,228,228.276840209961,013970,00
2022,01,010023,116,11,01,01,021405,2,7,4,0,300,575,500,150,0,15,0,80,0,0,120,1740,150.323440551758,013970,00
2022,01,010023,117,11,01,01,021405,2,7,4,0,20,80,73,0,0,3,0,0,0,0,0,176,86.4591674804688,013970,00
2022,01,010023,118,11,01,01,021405,2,7,4,0,3,165,0,0,0,0,0,0,0,0,0,168,118.641609191895,013970,00
2022,01,010345,117,11,02,02,210802,6,7,3,0,250,300,0,0,0,0,0,0,810,0,200,1560,166.827697753906,039740,00
2022,01,010345,119,11,01,01,210802,6,7,3,0,140,150,0,0,0,0,0,0,60,0,120,470,162.847778320313,039740,00
2022,01,010345,120,11,02,02,210802,6,7,3,0,75,600,0,0,0,0,0,0,375,0,400,1450,162.847778320313,039740,00
2022,01,010345,121,11,01,01,210802,6,7,3,0,98,450,0,0,0,0,0,0,80,0,0,628,145.789779663086,039740,00
2022,01,010345,124,11,01,01,210802,6,7,3,0,75,300,0,0,0,0,0,0,210,8,67,660,285.695068359375,039740,00
2022,01,010345,125,11,01,01,210802,6,7,3,0,80,750,0,200,0,0,0,0,40,0,70,1140,197.039321899414,039740,00
2022,01,010607,045,11,02,02,131003,4,5,3,0,336,750,270,0,20,0,0,0,0,0,210,1586,80.0139694213867,011851,00
2022,01,010607,090,11,01,01,131003,4,5,3,0,93,0,0,0,0,0,0,0,0,8,0,101,53.2459373474121,011851,00
2022,01,011300,083,11,01,01,160103,7,7,4,0,0,0,0,0,0,360,0,0,260,0,50,670,101.390586853027,008038,00
2022,01,011300,083,11,03,01,160103,7,7,4,0,0,0,0,0,0,0,0,0,125,0,25,150,159.247467041016,008038,00
2022,01,011300,173,11,01,01,160103,7,7,4,0,0,0,0,300,0,0,0,0,1200,0,0,1500,73.1900863647461,008038,00
2022,01,011300,173,11,03,03,160103,7,7,4,0,10,0,0,150,0,0,0,0,300,0,17,477,124.580467224121,008038,00
2022,01,011300,173,11,04,01,160103,7,7,4,0,0,0,0,0,0,0,0,0,450,0,0,450,73.1900863647461,008038,00
2022,01,011300,174,11,01,01,160103,7,7,4,0,12,0,0,0,0,408,0,0,160,0,20,600,127.461929321289,008038,00
2022,01,011300,176,11,01,01,160103,7,7,4,0,0,0,0,0,0,0,0,0,0,0,12,12,124.580467224121,008038,00
2022,01,011300,177,11,01,01,160103,7,7,4,0,40,0,0,900,0,35,0,0,1009,0,0,1984,26.8007259368896,008038,00
2022,01,015009,113,11,01,01,010101,4,4,1,0,6,300,0,300,20,0,0,0,0,0,0,626,46.0964469909668,007098,00
2022,01,015024,118,11,01,01,010101,4,4,2,0,0,0,300,0,0,0,0,0,0,0,48,348,460.742034912109,007073,01
2022,01,015058,083,11,01,01,010706,7,5,2,0,1151,80,40,4000,100,0,0,0,400,0,380,6151,282.367584228516,006843,00
2022,01,015058,099,11,01,01,010706,7,5,2,0,0,240,0,0,33,0,0,0,0,0,35,308,269.361846923828,006843,00
2022,01,015084,089,11,01,01,010504,4,7,3,0,470,500,425,0,100,0,0,0,198,0,100,1793,107.554611206055,007009,00
2022,01,015084,090,11,01,01,010504,4,7,3,0,172,300,200,200,0,0,0,0,412,0,0,1284,45.0041160583496,007009,00
2022,01,015084,091,11,01,01,010504,4,7,3,0,102,775,0,0,30,0,0,0,60,0,0,967,104.24723815918,007009,00
2022,01,015084,092,11,01,02,010504,4,7,3,0,190,100,150,200,0,0,0,0,250,0,0,890,107.554611206055,007009,00
2022,01,015084,185,11,01,01,010504,4,7,3,0,34,0,95,0,0,0,0,0,27,0,0,156,51.5970458984375,007009,00
2022,01,015084,186,11,01,01,010504,4,7,3,0,824,1000,1500,300,300,0,0,0,190,0,150,4264,154.847732543945,007009,00
2022,01,015084,187,11,01,01,010504,4,7,3,0,599,800,1700,0,0,0,0,0,319,0,0,3418,66.9699630737305,007009,00
2022,01,015084,188,11,01,01,010504,4,7,3,0,851,500,210,100,100,0,0,0,125,0,0,1886,76.4147109985352,007009,00
2022,01,015103,001,11,01,01,010109,4,8,3,0,15,20,22,0,0,0,0,0,30,0,0,87,27.8174839019775,007158,00
2022,01,015103,002,11,01,01,010109,4,8,3,0,9,570,0,0,35,0,0,0,0,0,70,684,75.8545837402344,007158,00
2022,01,015103,003,11,01,01,010109,4,8,3,0,706,2540,260,0,80,0,0,0,50,0,505,4141,66.510139465332,007158,00
2022,01,015103,004,11,01,01,010109,4,8,3,0,152,500,0,0,50,0,0,0,0,0,50,752,66.510139465332,007158,00
2022,01,015103,029,11,01,01,010109,4,8,3,0,1280,1000,2400,160,150,360,0,0,190,0,0,5540,76.4147109985352,007158,00
2022,01,015103,030,11,01,01,010109,4,8,3,0,285,170,150,0,30,0,0,0,200,0,0,835,71.590461730957,007158,00
2022,01,015103,031,11,01,01,010109,4,8,3,0,1840,700,1600,0,80,150,0,0,135,0,12,4517,154.847732543945,007158,00
2022,01,015103,032,11,01,01,010109,4,8,3,0,55,160,140,0,30,0,0,0,173,0,54,612,154.847732543945,007158,00
2022,01,015109,004,11,01,01,010705,7,7,4,0,0,0,0,0,0,0,0,0,0,0,50,50,43.0167236328125,006869,00
2022,01,015109,123,11,01,02,010705,7,7,4,0,0,0,0,0,0,0,0,0,7,0,0,7,59.5942878723145,006869,00
2022,01,015109,124,11,02,02,010705,7,7,4,1000,250,2000,2000,0,0,0,0,0,0,0,1150,6400,45.7830848693848,006869,00
2022,01,015109,125,11,01,01,010705,7,7,4,0,92,30,100,0,0,0,0,0,5,0,0,227,59.5942878723145,006869,00
2022,01,015109,126,11,01,01,010705,7,7,4,0,240,1200,1240,1120,100,200,0,40,0,0,780,4920,45.7830848693848,006869,00
2022,01,015119,013,11,01,01,010522,7,6,2,0,20,0,44,0,0,0,0,0,0,0,0,64,62.7092208862305,007025,02
2022,01,015119,031,11,01,01,010522,7,6,2,0,56,0,19,400,0,0,0,0,50,0,0,525,41.4928550720215,007025,02
2022,01,015119,039,11,01,01,010522,7,6,2,0,0,0,0,0,0,0,0,0,0,0,45,45,43.0167236328125,007025,02
2022,01,015119,047,11,01,01,010522,7,6,2,0,20,0,0,0,0,0,0,0,0,0,0,20,21.3388900756836,007025,02
2022,01,015119,080,11,01,01,010522,7,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,48.6483764648438,007025,02
2022,01,015122,010,11,01,01,010706,7,7,4,0,22,450,0,0,0,24,0,0,24,0,10,530,101.408081054688,006860,00
2022,01,015122,012,11,01,01,010706,7,7,4,0,0,300,0,500,10,30,0,0,24,0,60,924,48.6483764648438,006860,00
2022,01,015122,072,11,01,01,010706,7,7,4,0,15,780,0,1500,38,0,0,0,30,0,225,2588,62.7092208862305,006860,00
2022,01,015122,074,11,01,01,010706,7,7,4,0,9,10,0,0,0,0,0,0,45,0,55,119,59.5942878723145,006860,00
2022,01,015122,075,11,01,01,010706,7,7,4,0,0,500,0,1500,0,0,0,0,0,0,0,2000,145.998504638672,006860,00
2022,01,015122,077,11,01,01,010706,7,7,4,0,5,0,0,0,0,25,0,0,80,0,0,110,59.5942878723145,006860,00
2022,01,015122,079,11,01,01,010706,7,7,4,0,29,0,0,0,0,0,0,0,76,0,70,175,59.5942878723145,006860,00
2022,01,015155,118,11,01,01,010707,7,7,4,0,22,0,0,0,20,100,0,0,35,0,0,177,63.142765045166,006840,00
2022,01,015155,119,11,01,01,010707,7,7,4,0,14,0,0,0,20,70,0,0,0,0,0,104,63.142765045166,006840,00
2022,01,015155,269,11,01,01,010707,7,7,4,0,15,0,0,0,0,105,0,0,0,0,0,120,72.0477676391602,006840,00
2022,01,015180,010,11,03,03,010202,7,7,4,0,90,0,0,0,0,0,0,0,275,0,100,465,62.7092208862305,006570,00
2022,01,015180,010,11,05,05,010202,7,7,4,0,48,0,25,0,0,0,0,0,80,0,6,159,63.142765045166,006570,00
2022,01,015180,012,11,02,02,010202,7,7,4,0,5,0,0,1440,0,0,0,0,0,0,700,2145,72.0477676391602,006570,00
2022,01,015180,267,11,01,01,010202,7,7,4,1500,0,3600,28,0,0,0,0,0,0,0,30,5158,72.0477676391602,006570,00
2022,01,015180,269,11,01,01,010202,7,7,4,0,15,3200,100,2400,0,1500,0,0,0,0,50,7265,59.5942878723145,006570,00
2022,01,015180,270,11,01,01,010202,7,7,4,0,0,1000,50,0,0,0,0,0,0,0,30,1080,63.142765045166,006570,00
2022,01,015180,271,11,01,01,010202,7,7,4,8,0,300,100,400,0,0,0,0,0,0,12,820,145.998504638672,006570,00
